,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings2,ratings3,comment,helpful
139,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),3,삶의의지,5,4,3,3,"데이터의 통신에 관해 배우는 수업입니다.
통신 기술의 발전 역사와 그 원리들을 배우는데 양이 꽤 많다고 느꼈습니다. 기존의 기술들이 조금씩 변형되어 발전된 경우가 많기 때문에 헷갈리기도 하고 수식들도 많이 등장합니다.
과제는 없었던 것 같고, 시험은 계산 문제보다는 개념 문제 위주였던 걸로 기억합니다.
수강 당시 암기형 과목같은 느낌이 들어 성취감이 높진 않았습니다.",도움이 돼요 0
140,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,snail1,4,4,4,5,교수님 설명 너무 잘해주세요!! 양이 생각보다 많긴 한데 설명을 너무 재밌게 해주셔서 수업시간에 집중하면 시험볼 때 도움이 많이 되더라구요ㅎㅎ 강의력 너무 좋으십니당ㅎㅎㅎ,도움이 돼요 0
141,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,난누,5,3,3,4,"강의력 좋으십니다. 재밌고 예시도 진짜 찰떡같이 주세요. 그래서 재밌긴 했는데, 시험 범위가 정말 많아요. 큰 흐름을 집고 가는 게 아니라 세세한 얘기까지 하셔서 시험문제도 좀 지엽적이고 수업 열심히 들어야 풀 수 있는 문제가 많이 나옵니다. 이건 기출문제 주시는걸로 풀어보면 알거에요. 시험 범위 자체도 많고 세세히 공부해야 해서 시험기간에 부담이 많이 됩니다. 그래도 학점은 비율 적당히 맞춰서 주십니다.",도움이 돼요 0
142,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),3,앜세,5,4,3,3,"코로나 시국
내용은 명강이었으나
제 스스로가 공부를 열심히 안했기에 할말이 없습니다.
재수강...",도움이 돼요 0
143,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,______,3,2,3,4,"교수님께서 설명을 잘 하십니다.
출첵은 안 하시지만 안 나가신다면 좋은 학점 얻기는 거의 틀렸다고 생각하시면 됩니다.
깜짝 퀴즈를 내신다기도 하고, 학생들 질문에서 문제를 내십니다. 심지어 개인적으로 한 질문도 시험문제로 내십니다. 시험을 잘 본 분들은 거의 수업에 열심히 참여하신 분들이지만 그렇다고 수업을 열심히 들은 모든 분들이 시험을 잘 보는 건 아닙니다. 문제 유형에 익숙해져야 잘 보는 시험입니다(사람마다 느끼는 난이도가 확연한 시험). 컴과에서 고등학교 내신 과목 공부하는 느낌이 드는 흔치 않은 과목이라고 생각합니다. 성실히 암기하시는 분들은 좋은 학점 받으실 것입니다. 다만 a+컷은 높기 때문에 많이 노력하셔야 합니다.
인터넷 프로토콜 듣고 이거 들으니까 그나마 공부양이 적다고 느껴지긴 합니다만, 양 자체는 꽤 많은 것 같습니다.",도움이 돼요 0
144,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,BeneBean,5,5,5,5,"3년 간 들었던 수업 중에 단언 최고의 수업이었습니다 ㅎㅎ 과목 특성상 외우고 이해해야 하는 내용이 굉장히 많지만, 교수님의 강의력이 매우 우수하시기 때문에 정말 관심 갖고 열심히 공부하면 좋은 성적을 얻어가실 수 있습니다 ㅎㅎ",도움이 돼요 0
145,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),2,쿄주로,5,4,3,3,"학습량 개많고 완전 어렵게 시험냄. 시험 시간도 1시간이고 응용에 응용을 해놨음
점수는 그냥 그렇게 주는것 같은데 시험 1회독도 3일 잡아야함.
그리고 개 지엽적으로 나와서 이거 추천 절대 안함. 
암기 완전 자신있는거 아니면 딴거 들으세요.",도움이 돼요 0
146,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,2019,5,4,3,3,"쉽고 재밌게 설명하시고, 내용도 그렇게까지 어렵지는 않다. 관련 지식이 전혀 없어도 듣는 데 무리가 없다. 다만 배우는 양이 좀 많은 편이다. 꾸준히 복습을 해주면 시험 때 부담이 덜하겠지만, 그렇지 않다면 꽤나 고생할 것이다.",도움이 돼요 0
147,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,SS4,4,4,4,4,과제없음 출석없음 중간/기말고사 100퍼센트. 교수님이 강의력이 좋으시고 열정적이다. 학점은 시험 본만큼 주시는듯,도움이 돼요 0
148,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),3,치킨맛피자,4,4,3,4,"시험범위 매우 넓습니다. 근데 심지어 지엽적으로 나와요. 공부해도 공부해도 공부해도 끝이 없고, 인기강의라 열심히 하는 사람들도 더럽게 많아서 학점 따기 힘든 강의입니다. 학점은 중간 평마6하고 기말 평균했더니 B받았어요 그냥 평범하게 주시는 것 같아요. 강의력은 좋으십니다. 설명이 쏙쏙 들어오고 이해가 잘 되는데, 그걸 외우는 건 또 다른 문제라... 화이팅",도움이 돼요 0
149,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,공차,4,3,3,3,"신호와 시스템에서 수학빼고 통신기술을 배우는 과목입니다. 과제 출석 전무하고 오로지 중간 기말로만 평가하는 과목입니다. 어렵진 않은데 공부량 진짜 많아요,,,,",도움이 돼요 0
150,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,SeaweedAshes,4,2,4,5,"출석체크는 아예 안하시고
강의 내용의 난이도는 쉬운 편입니다.
하지만 시험은 응용과 많은 양으로 인해 난이도가 있는 편이고 학점은 잘 주시는 편이라고 생각합니다.
이 강의를 잘 듣고 정리를 잘하셨으면 컴네와 인터넷 프로토콜을 들으실 때 도움이 될 수 있습니다.",도움이 돼요 0
151,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,BIGPEL,5,4,4,5,"강의 정말 잘 하십니다.
학생들 이해하지 못한 것 같으면 예를 들어서 잘 알려주십니다.
비록 시험은 못봐서 시험 성적은 정말 낮았지만, 그에 비해 학점은 천사같이 주셨습니다.
많이 배우고 갑니다.",도움이 돼요 0
152,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,자유롭고정의로운진리,4,2,4,4,OSI 7계층 중에서 물리 계층과 데이터링크 계층에 대해 배우는 수업입니다. 교수님께서 유머감각도 있으시고 네트워크에 열정이 많으셔서 이런저런 이야기도 간간이 들을 수 있습니다. 수업에 집중하고 예복습을 철저히 하면 쉽게 점수를 따갈 수 있는 과목입니다. 양이 너무 많아 벼락치기로는 많이 힘들고 꾸준히 하시는 것을 추천합니다. 프린트에 대부분의 내용이 다 담겨있지만 프린트에서 언급한 부분의 교과서를 읽어보는것을 권장합니다. 시험이 매우 세세하게 나오기 때문에 내용을 확실히 이해하시는 것이 중요합니다.,도움이 돼요 0
153,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,void,4,3,4,5,"이번 학기 최고의 강의입니다. 교수님의 강의력이 너무 좋으시고 스윗하십니다. 데이터통신을 들으신다면 꼭 김효곤 교수님 강의를 들으시기를 추천드립니다.

강의자료가 상당히 많습니다. 몰아서 공부하려면 상당한 집중력과 시간이 필요하니 평소에 잘 공부해두시는 게 좋습니다.
시험은 매년 유형이 크게, 범위가 조금씩 바뀝니다. 기출을 올려주시기는 하나 개념을 잘 이해하고 있는지, 공부한 부분이 문제로 나올 때 어떤 식으로 나올 수 있는지 확인하는 용도로만 보시기를 추천합니다.",도움이 돼요 0
154,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,1교시듣지마세요,4,4,3,4,"교수님이 강의를 정말 잘하세요. 학생들이 이해하기 쉽도록 가르쳐 주십니다.
그런데 시험문제가 좀 어려워요. 완전히 그 내용을 이해해야 풀 수 있는 문제들이 나오는데, 얕게 공부하시면 시험문제 보시면 답이 헷갈리실 거에요.
시험범위도 저는 개인적으로 많게 느껴졌어요. 미리미리 복습하시는게 좋을것 같아요",도움이 돼요 0
155,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,하늘에서에이쁠이,4,3,3,4,"우선 교수님의 강의력이 매우 뛰어납니다. 정말 한번만 들으면 시험전에 한번 훑으면 되는정도로 기억에 남게 수업을 하세요. 그리고 엄청 귀여우세요ㅎㅎㅎ 
시험은 우선 통암기입니다. 정말 하나하나 다 외워야해요.
출석은 한번도 안하셨고
원래는 pop quiz 라고 출석이 저조할때 깜짝 퀴즈를 해서 미리미리 공부를 해야한다고 들었는데
이번학기에는 한번도 없었습니다.
학점은 적당히 주시는 것 같습니다.
음 다들 데통 재미없다고 하셨는데 전 강의력이 좋아서 그런지 정말 재밌게 들었습니다",도움이 돼요 0
156,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,팬동,4,3,5,4,"교수님 강의력이 좋으시고, 내용이 어렵지는 않았습니다. 시험을 2번 보는데, 꼼꼼히 공부하시는 것을 추천합니다.",도움이 돼요 0
157,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,허벅지123,2,1,4,3,"꿀강임

꼭 들으셈들

문제는 교수님이 전공 과목은 아니신지 가끔 상세한 설명은 못하신단 것 정도",도움이 돼요 0
158,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),1,설치,5,4,3,5,"갓효곤 교수님의 수업을 들으러 갈때에는
예습과 복습이 필요하지 않습니다.
겨수님이 학생들의 입장에서 어렵겠다싶은거는 다 일일히 풀어서 설명해주시고, 예도 엄청 잘들어주십니다.
처음으로 수업들으면서 아, 저 교수님 연구실에서 일하면 일할 맛 나겠다 라고 생각한 강의.
하지만 공부량은 엄청나게 많고, 시험도 개개개개어렵습니다.
수업 열심히 따라가다 보면
 정말 많이 배웠다는 것을 느끼실 겁니다.",도움이 돼요 0
159,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,drew,4,4,3,3,강의자료를 잘 이해하면 좋은 성적을 받을 수 있습니다.,도움이 돼요 0
160,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,kkkangbea,4,4,3,4,"OSI 7계층 중 physical layer, data link layer에 대해서 주로 다룹니다. 컴퓨터 네트워크의 선수과목으로 알려져 있지만 굳이 수강하지 않아도 되긴 합니다. 난이도는 어렵지 않지만, 학습량이 다소 많습니다. 시험도 어느정도의 암기를 기반으로 합니다. 교수님이 강의력이 좋으셔서 재밌게 들을 수 있습니다",도움이 돼요 0
161,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,20210130,5,4,4,4,"시험범위가 엄청 많고 암기해야할 것도 매우 많습니다. 하지만 교수님이 비유법을 사용하셔서 이해하기 쉽게 설명을 잘 해주십니다. 과제나 퀴즈 없이 중간고사, 기말고사만 봅니다.",도움이 돼요 0
162,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,lalalak,3,4,3,3,"피피티 양이 굉장히 많고 공부량도 꽤 많아요
근데 시험이 좀 어렵게 나오는거같아요
공부 꽤 열심히 했는데 점수가 ㅠ
단위같은거 잘 보셔야 하구요
공식들도 다 외워가셔야 해엽",도움이 돼요 0
163,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),2,블랑,5,3,2,2,교수님이 얼마나 열심히 가르치시는지는 이해할 수 있으나 시험이 과도하게 지엽적으로 나오는 편입니다. 그래서 도중에 흥미를 잃고 포기를 한 것 같습니다. 통신 분야에 관심 있고 암기가 자신있다 하시는 분만 들으세요,도움이 돼요 0
164,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,w990417,4,3,4,3,재미는..없구요 대신에 광범위한 분야를 너무 얕지도 깊지도 않게 학습하기에는 좋은듯 합니다. 단 진도를 기말을 앞두고 서두르며 페이스가 일정하지 못합니다. 학점 잘 주시는것 같고요 교수님 좋으세요.,도움이 돼요 0
165,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),5,loyalsp13,4,3,3,3,"교수님 홈페이지 들어가시면 우수강의 수상이력이 많은 것을 알 수 있습니다.
직접 수강하시면 그 이유를 알 수 있습니다.
수업 중간중간 말해 주시는 예시들이 너무 적절해서 새로운 개념도 이해가 잘 되고,
대답하기 어려운 질문이 있으면 따로 찾아보시고 다음 시간에라도 답변을 해주십니다.
시험은 암기 과목을 준비한다고 생각하시면 좋을 것 같습니다.
외워야 될 ppt가 꽤 많습니다.
출석, 과제가 없고 오로지 시험으로만 학점이 결정됩니다.
제가 원래 통신 쪽에 관심이 없어서 그런지 배운 것에 대한 성취감은 많이 느끼지 못 한 것 같습니다.
하지만 강의에서 배우는 내용이 일상생활에서 쉽게 접할 수 있는 부분들이어서
강의를 듣는 게 지루하지 않습니다.
중간고사는 표준편차 계산했을 때 상위 20% 정도였고, 기말고사는 점수 확인을 하지 않았습니다.
학점은 A를 받았는데 재수강이라서 A+까지 받을 수 있었는지는 모르겠습니다.",도움이 돼요 0
166,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,LINDBURG,3,3,2,3,"교수님은 되게 설명 잘하시고 친절하시긴한데
중간기말 성적반영이 100퍼센트로 이루어지고, 문제가 많이 지엽적이라 쉽지않습니다.",도움이 돼요 0
167,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),4,hism1125,5,4,4,4,"수업은 명쾌,깔끔하고 강의전달력도 좋으십니다.
출석은 거의 매번 하는것 같구요....
학점도 적당히 잘 주시는 것 같고 딱히 흠잡을 데가 없는 수업입니다.
꿀강이라고 할 수는 없지만 제대로 된 전공지식을 배우고 싶다 하시는 분들께 추천드립니다.",도움이 돼요 0
168,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),3,자정진어디갔냐,5,4,2,3,공부해야 할 범위가 많고 교수님이 지나가면서 잠깐 한 말도 시험에 나옵니다. 강의에 제대로 집중하시는 것이 좋은 학점을 받는 지름길입니다.,도움이 돼요 0
169,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),2,그르르루,2,2,2,2,별로임 다른수업 듣고싶음 시험문제가 이상함,도움이 돼요 0
170,19-2,COSE242,데이터통신,김효곤,#화(5) 목(5),3,낑깡깡,5,4,3,3,"공부할 분량이 많습니다. 복습 잘 하셔야 나중에 피눈물 흘리지 않을 수 있어요. 엄청나게 어려운 건 아니지만 외울 게 많아서 힘들었습니다. 교수님께서 설명을 잘해주시지만, 중간고사 이후부터는 집중력이 급격하게 떨어집니다. 참고로 시험은 문제가 영어로 나옵니다. 지엽적인 부분도 잘 캐치해야 하는 것 같습니다.",도움이 돼요 0
171,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,서러운비버,3,4,4,4,"거의 실습 위주의 수업입니다. 한번은 이론수업 하고 한번은 실습 수업을 하는 형식입니다.
거의 매주 실습 과제가 있습니다. 전부 C나 C++로 진행하는데 난이도가 꽤 있습니다.
본인이 C에 자신이 없으시면 공부를 많이 할 각오를 해야 할 것 같아요..
저는 평소에도 코딩을 많이 하고 자료구조도 따로 공부한 적이 있어서 수월했습니다. 따로 공부는 거의 안했고 실습 문제만 제때제때 제출했습니다.

시험은 실시간으로 코딩해서 제출하는 형식입니다.
평소 실습문제가 어렵기 때문에 실습 문제만 본인 힘으로 다 푸셨으면 시험은 어렵지 않게 푸실 수 있습니다.
기말고사는 정말 거의",도움이 돼요 2
172,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),2,내안에호랭이,4,4,3,3,전필이라 듣습니다. 중간 기말 C코딩 시험. C 못하면 듣지 마세요..,도움이 돼요 2
173,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,으앙으앙아,3,3,1,4,응 학점 나가리~ 처음에 배열도 못쓰고 이랫던거 치고는 그래도 많이 성장햇지만 암튼 학점 나가리임 ㅠ 넘나 슬픈것,도움이 돼요 1
174,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,샙샙이,3,3,3,3,중간고사 점수 보고 드랍했습니다. 어떻게 그런 점수가 나올 수 있었는지 의문,도움이 돼요 1
175,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,먕먕,3,5,3,1,"저는 중도 하차를 해버렸지만...
자자했던 소문과는 다르게(?) 교수님 자체는 좋으십니다
다만 C언어 안하고 오시면 정말 힘들어요...
기초가 없는 분들은 괜히 도전하지 마시길 ㅠㅠ
끝까지 따라만 가도 얻을 게 많을 수업임은 확실합니다..
강의 퀄리티는 좋은 것 같아요",도움이 돼요 1
176,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),5,고려대역7번출구,1,1,4,5,킹갓정연돈... 공부하신만큼 성적이 나옵니다.,도움이 돼요 0
177,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,Katput,4,4,2,4,"한 주에 있는 두 번의 강의 시간을 보통 한 번의 강의와 한 번의 실습으로 이용하십니다.
강의 이름대로 자료구조에 대한 내용을 공부하는데, linked list를 참 많이 사용했던 기억이 나네요. 언어는 c를 사용하십니다.
실습시간에는 강의 내용에 대한 문제를 코딩하는 것인데, 실습 시간 내에 다 푼다면 상관없지만, 일반적으로 실습시간 내에 다 풀기는 쉽지 않으므로 과제가 매주 생긴다고 생각하시면 됩니다.
시험도 실제적으로 코딩하는 문제를 내시는데, 쉽지 않습니다. 코딩 고수가 아니시면 다 못 푸시는게 일반적이라고 생각하시면 됩니다.
시험이나 실습과제 모두 블랙보드를 통해 제출하는데, 제출하시기 전이나 후에 꼭 내용 확인해보세요. 가끔 실수로 빈 폴더를 제출하실 수도 있습니다. 저도 한 번 그랬고요.",도움이 돼요 0
178,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),5,허쉬허쉬,3,4,3,5,"컴과의 개그맨. 수업이 너무 재밌어서 1교신데 듣고싶어지는 마술.
교수님께서 수업 첫 시간에 C 모르면 드랍하라고 하셨다. 각오는 했는데 시험이 어렵긴 어렵다.
코딩 할 줄 알면 개꿀인 수업.
수업도 잘 하시고, 재밌고, 과제도 딱 적당하다. 많지도 너무 어렵지도 않은...

교수님께서 학생들을 다 챙겨주고싶어 하신다. 질문도 다 받아주시고.
시험이 정말 특이하게 코딩 시험이다. 손코딩 말고 진짜 코딩.
인터넷 안 보이게 쓰면 되지 않냐 생각하는데 어림도 없다. 교수님이 그렇게 자신감 갖고 하시는덴 이유가 있다.
시험 때문에 좀 힘들긴 해도, 배우는 게 엄청 많은 강의. 짱짱.",도움이 돼요 0
179,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),5,라면건더기,5,5,4,5,"거의 2주일에 한번 꼴로 과제나 나감.
교수님께선 학생들 전원이 C언어를 할줄 안다는 가정하에 수업을 진행하심. 그래서 전체적으로 수업이 어려움. 과제도 어려움.

그래도 과제를 해나가며 진행해가면 금방 적응하고 재밌어지는듯함.

시험이 매우 어려워서 A+은 코딩 괴물들이 다 쓸어가는 수업이라 생각함
코딩에 베이스가 없는 사람이 덤빈다면 A 혹은 B+이 최고학점이 될 것이라 생각",도움이 돼요 0
180,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),5,댕지댕,4,5,4,5,"굳이 비유하자면 명강입니다. 꿀강은 아닙니다.

2학기에 자구를 여시다 보니 컴과가 아닌 타과 수강생 분들이 많을 것이라 생각합니다. 이런 분들에게는 결코 쉽지 않습니다. 컴과생들에게도 물론 만만치 않습니다. 다만 이것을 극복해내면 정말 많은 것을 배울 수 있습니다.

기본적으로 수업을 강의-실습으로 번갈아 진행하시는데, 해당 챕터의 내용을 교수님께서 강의하시고 그에 맞는 3개 정도의 코딩 과제를 실습 시간에 풀게 됩니다. 그리고 실습 시간에 나온 문제가 그대로 다음주까지의 과제가 됩니다. 처음 C를 하시는 분들이나 C에 익숙하지 않으신 분들이 수업시간 1시간 15분 안에 3개를 뚝딱 풀어내는 게 말처럼 쉽지 않습니다. 

난점이 여기에 있는데, 시험 방식이 실습 방식과 정확히 똑같기 때문입니다. 무슨 얘기냐면, 1시간 15분 안에 3~4문제를 뚝딱 풀어내야 합니다. 시험이 거의 100% 코딩으로 진행되기 때문에, 당황스러우실 수도 있습니다.

장점은 단점하고 정확히 똑같습니다. 결국 짧은 시간 안에 저런 문제들을 해결할 수 있게 되면, 코딩 실력이 급상승합니다.

여담으로, 교수님이 수업 시간에 재밌으십니다. 1교시 가서 안 졸고 들을 수 있습니다.",도움이 돼요 0
181,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),5,컬러링,3,4,4,5,"자료구조 구현에 초점을 두고 진행하는 수업입니다.
따라서, 씨언어를 잘 하시면 좋은 것 같습니다.
씨언어의 포인터, 구조체, 이중포인터, 함수포인터 같은 걸 자주 쓰기 때문에, 이것들에 대한 이해가 중요하다고 생각합니다.

과제는 일주일에 한번정도고 다 코딩 과제입니다.
과제 난이도는 컴과 1학년때 수강하는 컴프1정도 인 것 같습니다.

시험은 좀 어려웠고, 사바사겠지만, 시간 안에 모든 문제를 다 푸는 것은 조금 어렵게 출제되는 것 같습니다.
잘하시는 분들은 잘하지만, 대부분의 수강생분들이 다 어려워하기 때문에, 씨언어나 과제에 시간을 좀 투자하신다면 괜찮은 성적을 받을 수 있을 거라고 생각합니다.

어렵고 힘들었던 만큼 큰 도움이 될 수 있는 수업인 것 같습니다.",도움이 돼요 0
182,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,게슈탈트붕괴,4,4,1,4,"우선 정연돈 교수님의 자료구조는 기본적으로 C 프로그래밍을 해본 사람들에게 추천한다. 그 이유는 시험의 난이도와 출석 때문이다. 우선, 이 강의는 특이하게 출석점수가 아예없다. 강의를 듣지 않아도 1~2 주마다 나오는 과제와 시험을 충분히 잘 치를 자신이 있다면 수업에 나오지 않아도 불이익이 전혀 없다.
컴과에서 학점을 짜게 주시는 교수님으로 유명하시고 시험의 난이도가 높아 잘하는 사람과 못하는 사람간의 점수 간극이 괴랄하다. 그래도 학과장님이신만큼 잘 가르쳐주시고 열심히만 한다면 성취가 있을 것이다. 다만 열심히 한다고해서 학점이 잘나오는 것은 아니니 방심하면 안된다.",도움이 돼요 0
183,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,백우,4,5,3,4,"1~2주에 한번씩은 코딩이 과제로 나오고, 시험문제도 어렵게 나와서 이중생인 저로서는 꽤나 부담되고 힘든 과목이었습니다ㅜㅜ 사실 시험 성적도 원래부터 코딩 잘하는 사람이 잘 받아가는 것 같아요. 하지만 힘든 만큼 얻어가는 것도 많다고 느낀 과목입니다!",도움이 돼요 0
184,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,내이름은김일팔,5,5,3,4,"비전공자 가서 중간 평 -10, 기말 평 + 20정도 받고, 과제 한번빼고 다 제출했더니 B0받았습니다. 조금 아쉽긴 하지만, 교수님 강의력이 좋으셔서 컴퓨터학과 첫 수업을 흥미롭게 들었던 것 같습니다.",도움이 돼요 0
185,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),1,고대불주먹,5,5,1,5,과제 너무 어렵다 진짜 너무 어렵다 이중 첫 진입이었는데 너무 힘들었다 학점도 A+~B까지 50%였다.. 근데 다 같이 어려우니까 과제 열심히 내고 시험 점수 평균보다 좀만 잘 보면 B+은 맞을 수 있는 것 같다,도움이 돼요 0
186,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,헷지,4,4,1,4,"배운거 많고 교수님이 잘 가르쳐 주시는데
시험 난이도는 좀 어려운 편이에요
학점 10 10 20 20 비율로 주심",도움이 돼요 0
187,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,mobius00,4,4,1,5,"출석체크 전혀 안하십니다.
난이도는 C를, 그 중에서도 포인터를 잘 학습하고 오셨다면 엄청 어려워!! 정도는 아닐 거에요. 무슨 소리냐면 자료구조 할 거면 포인터 공부 하고 들으시는게 좋을 거란 소립니다.
학습량은.. 애매하네요.. 저는 자료구조 공부를 좀 많이 해서 학점을 잘 받긴 했지만... 솔직히 학습량은 개인마다 다르기 때문에 패스하겠습니다.
학점은 개짜요. 진심으로... B이상이 50퍼라는 소문도..?
성취감은.. 있습니다. 네.. 1~2주마다 과제가 나오고(어렵지는 않아요!), 중간 기말은 좀 어렵게 내시다 보니 성취감은 충분히 듭니다.",도움이 돼요 0
188,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,학점뭐별거있나울지마,4,5,4,4,"출석 점수는 아예 없음. 교수님이 말씀을 재밌게 하시는 편.
자료구조 자체가 어렵기도 하고 c언어 잘 못하기 때문에 수업 내용은 조금 어려웠다.
중간, 기말 점수 보고 놀랐는데 성적 받아보니 다들 어려웠는지 학점은 잘 나온거 같다.",도움이 돼요 0
189,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,꽥꽥,5,5,3,3,"어려워서 하나도 이해못하고 던짐.. 
과제가 거의 매주있음. 상당한 수준의 C프로그래밍 능력이 필요하다. 
C 못하면 과제 하나도 못한다.",도움이 돼요 0
190,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,청석골,4,4,4,4,C언어를 모르면 절대 좋은 성적을 받을 수 없습니다.,도움이 돼요 0
191,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,daisuke,3,2,4,3,"출석체크는 딱 한번 타과생만 하셨습니다.
중간 기말은 4문제 정도 나오고 과제랑 비슷한 수준입니다.
학점은 잘 주시는편입니다.",도움이 돼요 0
192,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),2,보리건빵99,4,5,2,3,"이중생이나 융전생들이 많은 컴과 수업이었습니다. 저도 융전생이었는데, 같이 듣는 친구들이 없다면 혼자 꾸준히 하기 힘든 수업인 것 같습니다. 매 챕터가 끝날 때마다 과제가 있는데, github에서 베껴서 제출해도 되지만 웬만하면 스스로 코드를 짜봐야 시험 대비가 되기 때문에 좋을 것 같습니다. C 언어로 하고 기본적인 문법은 알고 있는 상태에서 들어야 합니다. 기본적인 C 언어를 다뤄봤어도 어려운 수업입니다. 시험은 본인 컴퓨터로 블랙보드에 올라온 문제를 풀고 제출하는 방식입니다. 이전에 했던 과제를 기반으로 살짝 더 어려운 코드를 짜는 형식이라서 과제를 잘 해놓는 것이 중요합니다.",도움이 돼요 0
193,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,아기돌고래,4,5,3,4,"C언어를 모르면 아예 들을 수 없는 강의. 과제가 거의 매주 나오는데, 시간투자를 많이 해야되고 어려워서 한학기 내내 과제 때문에 고생했다. 시험이 엄청나게 어려워서 중간고사같은 경우 100점만점에 평균이 20점대, 중간값이 10점대였다. 과제를 계속 하고, 시험공부를 하다보니까 자료구조에 대한 기본적인 개념을 확실히 잡을 수 있어서 성취감은 좋았다,",도움이 돼요 0
194,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),4,사라,2,1,4,2,무려 50프로를 c+ 이하를 주시지만 이중전공자가 많아 체감 학점은 높은 편. 중간고사 미디언이 10점대였던 것으로 기억. 자료구조 조금만 할 줄 알면 무난히 a를 받아갈 수 있다.,도움이 돼요 0
195,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,KL22T,5,5,3,5,"융전생에 준비없이 뛰어든 강의라 제게만 어려웠을 수 있습니다.
출석은 거의 안부르셨고 교수님도 어차피 아주 잘해서 안오는 애들도 있고
포기하고 안오는 애들도 있는데 출석에 신경을 안쓰겠다는 뉘앙스였습니다.
시험은 3,4개의 코딩 문제를 종이로 나눠주시고 소스코드를 블보에 주십니다.
그 코드를 본인 컴파일러로 문제 보고 풀어서 수정해 제출하는 식으로 봤습니다.
전 이 교수님 강의에서 좋은 성적을 받지는 못했지만, 강의 자료가 꽤 훌륭해서
공부는 많이 도움이 됐다고 생각합니다. 성적 빼고는 얻은게 많은 강의였습니다.",도움이 돼요 0
196,19-2,COSE213,자료구조,정연돈,#화(1) 목(1),3,dkdkdkr,4,4,1,4,"평소에 백준 문제를 많이 풀어본 사람이라면 학점을 잘받을 가능성이 높습니다.
코딩에 자신이 있는 사람에게 추천합니다.
과제는 쉽지 않습니다.
하지만 코딩을 잘하더라도 A+비율이 10%이기때문에 방심해서는 안됩니다.
교수님이 언급하신 바로는 시험은 쉬워질 가능성이 있습니다.",도움이 돼요 0
